Name,CarName,fueltype, price ,model,used/new,accident,milage,engine,model_year,ext_col,int_col
Sheet1,alfa,gasoline," $13,495.00 ",romero giulia,new,None reported,0 mi.,0.13,null,null,null
Sheet1,alfa,gasoline," $16,500.00 ",romero stelvio,new,None reported,0 mi.,0.13,null,null,null
Sheet1,alfa,gasoline," $16,500.00 ",romero Quadrifoglio,new,None reported,0 mi.,0.152,null,null,null
Sheet1,audi,gasoline," $13,950.00 ",100 ls,new,None reported,0 mi.,0.109,null,null,null
Sheet1,audi ,gasoline," $17,450.00 ",100ls,new,None reported,0 mi.,0.136,null,null,null
Sheet1,audi fox,gasoline," $15,250.00 ",fox,new,None reported,0 mi.,0.136,null,null,null
Sheet1,audi ,gasoline," $17,710.00 ",100ls,new,None reported,0 mi.,0.136,null,null,null
Sheet1,audi ,gasoline," $18,920.00 ",5000,new,None reported,0 mi.,0.136,null,null,null
Sheet1,audi ,gasoline," $23,875.00 ",4000,new,None reported,0 mi.,0.131,null,null,null
Sheet1,audi ,gasoline," $17,859.17 ",5000s (diesel),new,None reported,0 mi.,0.131,null,null,null
Sheet1,bmw ,gasoline," $16,430.00 ",320i,new,None reported,0 mi.,0.108,null,null,null
Sheet1,bmw ,gasoline," $16,925.00 ",320i,new,None reported,0 mi.,0.108,null,null,null
Sheet1,bmw ,gasoline," $20,970.00 ",x1,new,None reported,0 mi.,0.164,null,null,null
Sheet1,bmw ,gasoline," $21,105.00 ",x3,new,None reported,0 mi.,0.164,null,null,null
Sheet1,bmw ,gasoline," $24,565.00 ",z4,new,None reported,0 mi.,0.164,null,null,null
Sheet1,bmw ,gasoline," $30,760.00 ",x4,new,None reported,0 mi.,0.209,null,null,null
Sheet1,bmw ,gasoline," $41,315.00 ",x5,new,None reported,0 mi.,0.209,null,null,null
Sheet1,bmw ,gasoline," $36,880.00 ",x3,new,None reported,0 mi.,0.209,null,null,null
Sheet1,chevrolet impala,gasoline," $5,151.00 ",impala,new,None reported,0 mi.,0.061,null,null,null
Sheet1,chevrolet ,gasoline," $6,295.00 ",monte carlo,new,None reported,0 mi.,0.09,null,null,null
Sheet1,chevrolet,gasoline," $6,575.00 ", vega 2300 ,new,None reported,0 mi.,0.09,null,null,null
Sheet1,dodge ,gasoline," $5,572.00 ",rampage,new,None reported,0 mi.,0.09,null,null,null
Sheet1,dodge ,gasoline," $6,377.00 ",challenger se,new,None reported,0 mi.,0.09,null,null,null
Sheet1,dodge ,gasoline," $7,957.00 ",d200,new,None reported,0 mi.,0.098,null,null,null
Sheet1,dodge ,gasoline," $6,229.00 ",monaco (sw),new,None reported,0 mi.,0.09,null,null,null
Sheet1,dodge,gasoline," $6,692.00 ", colt hardtop,new,None reported,0 mi.,0.09,null,null,null
Sheet1,dodge ,gasoline," $7,609.00 ",colt (sw),new,None reported,0 mi.,0.09,null,null,null
Sheet1,dodge,gasoline," $8,558.00 ", coronet custom,new,None reported,0 mi.,0.098,null,null,null
Sheet1,dodge ,gasoline," $8,921.00 ",dart custom,new,None reported,0 mi.,0.122,null,null,null
Sheet1,dodge,gasoline," $12,964.00 ", coronet custom (sw),new,None reported,0 mi.,0.156,null,null,null
Sheet1,honda ,gasoline," $6,479.00 ",civic ,new,None reported,0 mi.,0.092,null,null,null
Sheet1,honda ,gasoline," $6,855.00 ",civic cvcc,new,None reported,0 mi.,0.092,null,null,null
Sheet1,honda ,gasoline," $5,399.00 ",civic,new,None reported,0 mi.,0.079,null,null,null
Sheet1,honda ,gasoline," $6,529.00 ",accord cvcc,new,None reported,0 mi.,0.092,null,null,null
Sheet1,honda  ,gasoline," $7,129.00 ", civic cvcc,new,None reported,0 mi.,0.092,null,null,null
Sheet1,honda ,gasoline," $7,295.00 ",accord lx,new,None reported,0 mi.,0.092,null,null,null
Sheet1,honda ,gasoline," $7,295.00 ",civic 1500 gl,new,None reported,0 mi.,0.092,null,null,null
Sheet1,honda ,gasoline," $7,895.00 ",accord,new,None reported,0 mi.,0.11,null,null,null
Sheet1,honda,gasoline," $9,095.00 ", civic 1300,new,None reported,0 mi.,0.11,null,null,null
Sheet1,honda ,gasoline," $8,845.00 ",prelude,new,None reported,0 mi.,0.11,null,null,null
Sheet1,honda ,gasoline," $10,295.00 ",accord,new,None reported,0 mi.,0.11,null,null,null
Sheet1,honda ,gasoline," $12,945.00 ",civic ,new,None reported,0 mi.,0.11,null,null,null
Sheet1,honda civic (auto),gasoline," $10,345.00 ",civic (auto),new,None reported,0 mi.,0.11,null,null,null
Sheet1,isuzu MU-X,gasoline," $6,785.00 ",MU-X,new,None reported,0 mi.,0.111,null,null,null
Sheet1,isuzu ,gasoline," $8,916.50 ",D-Max ,new,None reported,0 mi.,0.09,null,null,null
Sheet1,isuzu,gasoline," $8,916.50 ",D-Max V-Cross,new,None reported,0 mi.,0.09,null,null,null
Sheet1,isuzu ,gasoline," $11,048.00 ",D-Max V,new,None reported,0 mi.,0.119,null,null,null
Sheet1,jaguar ,gasoline," $32,250.00 ",xj,new,None reported,0 mi.,0.258,null,null,null
Sheet1,jaguar ,gasoline," $35,550.00 ",xf,new,None reported,0 mi.,0.258,null,null,null
Sheet1,jaguar ,gasoline," $36,000.00 ",xk,new,None reported,0 mi.,0.326,null,null,null
Sheet1,maxda ,gasoline," $5,195.00 ",rx3,new,None reported,0 mi.,0.091,null,null,null
Sheet1,maxda ,gasoline," $6,095.00 ",glc deluxe,new,None reported,0 mi.,0.091,null,null,null
Sheet1,mazda ,gasoline," $6,795.00 ",rx2 coupe,new,None reported,0 mi.,0.091,null,null,null
