,Battery,Efficiency,Fast_charge,Range,Top_speed,acceleration..0.100.,price
0,75.0,172,670.0,435,217,5.0,64328.53
1,57.5,137,700.0,420,201,6.1,50379.8
2,60.5,183,370.0,330,160,7.3,48641.25
3,61.7,171,630.0,360,160,7.9,43589.1
4,75.0,149,780.0,505,201,4.4,60189.8
5,57.5,164,580.0,350,217,6.9,51848.03
6,71.0,197,480.0,360,200,6.1,84257.0
7,64.0,173,550.0,370,180,5.3,45551.1
8,44.0,176,320.0,250,135,11.0,25397.0
9,82.5,170,530.0,485,180,3.8,58498.12
10,80.7,157,800.0,515,190,5.7,64528.0
11,60.0,158,530.0,380,160,7.4,50794.0
12,64.7,170,550.0,380,180,5.6,59950.0
13,64.0,164,370.0,390,167,7.9,46761.0
14,75.0,181,640.0,415,250,3.7,69397.03
15,64.8,168,390.0,385,167,7.8,49802.1
17,95.0,170,780.0,560,282,2.1,120957.3
18,74.0,192,520.0,385,180,6.8,73357.0
20,37.3,159,390.0,235,150,9.0,38139.1
21,85.4,180,450.0,475,180,3.9,77177.45
22,95.0,165,800.0,575,250,3.2,104607.3
23,60.5,178,340.0,340,160,7.0,39229.1
24,58.0,166,470.0,350,160,7.3,42913.3
25,25.0,152,180.0,165,125,19.1,24579.5
26,81.2,171,710.0,475,193,6.0,76518.0
27,80.7,179,700.0,450,225,3.9,77172.0
28,50.8,167,490.0,305,170,9.2,45769.1
29,68.3,185,420.0,370,175,8.4,41409.1
31,101.7,199,760.0,510,240,4.7,152491.0
32,64.0,188,510.0,340,160,7.5,51764.1
33,49.0,175,430.0,280,180,5.7,39883.1
34,62.0,185,520.0,335,180,6.7,46314.1
35,74.0,180,1070.0,410,185,7.3,56669.1
36,77.0,162,710.0,475,180,6.5,62124.55
37,105.2,208,680.0,505,200,4.6,109109.0
38,106.0,210,640.0,505,200,5.6,92977.0
39,50.8,169,390.0,300,160,7.7,38139.1
41,82.5,165,550.0,500,180,5.9,51860.02
42,77.0,169,680.0,455,180,6.7,53301.0
43,65.4,168,400.0,390,170,8.8,51437.1
44,58.0,166,450.0,350,160,7.3,43594.55
45,52.0,165,230.0,315,135,11.4,40155.6
46,96.0,226,740.0,425,200,6.0,83374.1
47,46.3,162,460.0,285,150,8.1,42619.0
48,85.0,210,1000.0,405,250,3.3,159194.5
50,77.0,171,630.0,450,160,7.0,50630.5
51,86.4,240,330.0,360,180,4.6,77826.0
52,28.9,161,260.0,180,150,7.3,38913.0
53,67.0,156,580.0,430,190,6.0,61585.0
54,74.0,168,1150.0,440,185,5.1,66599.0
55,74.0,206,940.0,360,260,3.5,79559.1
56,74.0,149,1290.0,495,185,7.4,58860.0
57,50.8,164,500.0,310,150,9.0,40330.0
58,87.0,193,540.0,450,160,7.6,64299.1
59,39.0,166,230.0,235,144,7.9,36406.0
60,77.0,223,480.0,345,145,10.2,70393.29
62,77.0,177,650.0,435,180,6.7,50505.15
64,94.0,186,700.0,505,200,3.8,69727.3
65,46.3,160,460.0,290,150,9.7,39283.6
67,118.0,172,870.0,685,270,2.9,237620.0
68,74.4,175,430.0,425,180,6.5,50129.1
71,74.0,190,1020.0,390,185,7.3,52211.0
72,57.5,164,810.0,350,217,6.9,51848.03
73,61.9,185,300.0,335,160,7.6,51873.1
74,44.9,176,260.0,255,150,10.0,32689.1
75,109.0,220,1040.0,495,250,4.5,104629.1
76,79.0,168,700.0,470,205,6.2,59377.75
77,64.0,178,540.0,360,180,3.6,52854.1
78,64.7,166,560.0,390,170,8.3,52211.0
79,54.0,148,900.0,365,185,8.8,47851.0
81,46.3,178,420.0,260,150,9.2,44308.5
83,61.7,193,560.0,320,200,3.8,51219.1
84,62.0,197,490.0,315,180,3.9,53399.1
85,64.0,200,480.0,320,160,6.9,62664.1
86,108.4,171,950.0,635,210,6.1,119410.59
87,106.5,201,630.0,530,205,3.9,76245.5
88,79.0,195,600.0,405,180,7.3,57770.0
89,94.0,177,740.0,530,200,7.2,66457.3
90,77.0,159,720.0,485,180,6.7,55753.5
