CarName,fueltype,price,accident,milage,model_year,ext_col,int_col,HP,motor_size,cylinders
Ford,gasoline,10300.0,yes,51000.0,2013.0,Black,Black,300.0,3.7,6.0
INFINITI,hybrid,15500.0,no,88900.0,2015.0,Black,Black,354.0,3.5,6.0
Audi,gasoline,31000.0,no,84000.0,2017.0,Blue,Black,292.0,2.0,4.0
BMW,gasoline,7300.0,no,242000.0,2001.0,Green,Green,282.0,4.4,8.0
Lexus,gasoline,41927.0,no,23436.0,2021.0,Black,Black,311.0,3.5,6.0
Aston,gasoline,184606.0,no,22770.0,2019.0,Silver,Black,715.0,5.2,12.0
Toyota,gasoline,53500.0,no,12500.0,2021.0,Yellow,Black,382.0,3.0,6.0
Lincoln,gasoline,62000.0,no,18196.0,2022.0,Black,Brown,400.0,3.0,6.0
Land,gasoline,29990.0,no,79800.0,2013.0,White,Black,375.0,5.0,8.0
Dodge,gasoline,16800.0,no,61074.0,2013.0,Black,Gray,305.0,3.6,6.0
Nissan,gasoline,11000.0,no,74000.0,2003.0,Purple,Gray,287.0,3.5,6.0
Jaguar,gasoline,68750.0,no,35250.0,2018.0,Green,Black,550.0,5.0,8.0
Genesis,gasoline,60000.0,no,5400.0,2023.0,Green,Beige,375.0,3.5,6.0
Chevrolet,gasoline,4500.0,no,133510.0,2000.0,Blue,Black,120.0,2.2,4.0
Chevrolet,gasoline,61000.0,no,52000.0,2021.0,Blue,Black,355.0,5.3,8.0
Hyundai,gasoline,32300.0,no,11650.0,2022.0,Black,Black,276.0,2.0,4.0
Mercedes-Benz,gasoline,59995.0,no,17500.0,2021.0,Gray,Black,382.0,2.0,4.0
BMW,gasoline,25700.0,no,69000.0,2015.0,Gray,Black,445.0,4.4,8.0
Mercedes-Benz,gasoline,48000.0,no,28800.0,2018.0,Silver,Black,362.0,3.0,6.0
Dodge,gasoline,10900.0,yes,300183.0,2006.0,Silver,Gray,345.0,5.7,8.0
Kia,gasoline,5999.0,no,171000.0,2011.0,Black,Black,276.0,3.5,6.0
Lexus,gasoline,46900.0,no,118700.0,2016.0,Black,Beige,383.0,5.7,8.0
Jeep,gasoline,15900.0,no,119000.0,2017.0,Red,Black,180.0,2.4,4.0
Audi,gasoline,8999.0,no,125575.0,2012.0,Silver,Black,211.0,2.0,4.0
Hyundai,gasoline,8200.0,no,16200.0,2007.0,Gold,Beige,173.0,2.7,6.0
BMW,gasoline,20000.0,yes,70000.0,2014.0,White,Beige,240.0,2.0,4.0
Bentley,gasoline,79950.0,no,20200.0,2011.0,Black,Black,552.0,6.0,12.0
Audi,gasoline,36880.0,yes,54000.0,2012.0,Black,Brown,310.0,3.0,6.0
MINI,gasoline,29000.0,yes,24280.0,2017.0,Black,Black,228.0,2.0,4.0
Toyota,gasoline,17500.0,no,89148.0,2016.0,Black,Black,268.0,3.5,6.0
Porsche,gasoline,30990.0,no,73043.0,2017.0,White,Black,300.0,3.6,6.0
Mercedes-Benz,gasoline,52500.0,yes,60000.0,2017.0,Gray,Black,503.0,4.0,8.0
Hummer,gasoline,19500.0,no,110900.0,2005.0,Gray,Black,325.0,6.0,8.0
Porsche,gasoline,73000.0,no,39000.0,2013.0,Blue,Black,400.0,3.8,6.0
Mercedes-Benz,gasoline,19800.0,no,120000.0,2016.0,Black,Black,208.0,2.0,4.0
Chrysler,gasoline,7500.0,no,134602.0,2009.0,Blue,Black,250.0,3.5,6.0
Audi,gasoline,6500.0,no,83500.0,2010.0,Silver,Black,200.0,2.0,4.0
Ford,gasoline,28500.0,no,37060.0,2014.0,Black,Black,420.0,5.0,8.0
Acura,gasoline,10995.0,no,97700.0,2010.0,Blue,Beige,300.0,3.7,6.0
Volvo,hybrid,42000.0,no,40000.0,2018.0,Black,Black,400.0,2.0,4.0
Mercedes-Benz,gasoline,10000.0,yes,186000.0,2014.0,Black,Beige,302.0,3.5,6.0
Lexus,gasoline,21000.0,no,104000.0,2014.0,Black,Black,306.0,3.5,6.0
BMW,hybrid,67900.0,no,8500.0,2023.0,Gray,Beige,382.0,3.0,6.0
Cadillac,gasoline,46900.0,no,6090.0,2023.0,White,Beige,237.0,2.0,4.0
Audi,gasoline,31000.0,no,47523.0,2019.0,Black,Black,248.0,2.0,4.0
Chrysler,gasoline,19995.0,yes,43000.0,2006.0,Silver,Black,425.0,6.1,8.0
Bentley,gasoline,130000.0,no,14684.0,2017.0,White,White,582.0,6.0,12.0
BMW,gasoline,55999.0,no,57800.0,2019.0,Black,Red,425.0,3.0,6.0
Toyota,gasoline,49950.0,no,952.0,2023.0,Silver,Gray,300.0,1.6,3.0
Audi,gasoline,59950.0,yes,21240.0,2019.0,Black,Black,444.0,2.9,6.0
Porsche,gasoline,42499.0,no,59338.0,2019.0,Black,Black,335.0,3.0,6.0
Maserati,gasoline,44999.0,no,23230.0,2019.0,Black,Black,424.0,3.0,6.0
Jaguar,gasoline,30000.0,yes,48000.0,2017.0,Red,Black,340.0,3.0,6.0
Lexus,gasoline,11100.0,no,41059.0,2005.0,White,Beige,225.0,3.3,6.0
Genesis,gasoline,53950.0,no,9950.0,2021.0,Silver,Blue,365.0,3.3,6.0
Volkswagen,gasoline,47999.0,no,633.0,2023.0,White,Black,315.0,2.0,4.0
Hyundai,hybrid,15900.0,yes,66000.0,2015.0,White,Gray,199.0,2.4,4.0
Audi,gasoline,45000.0,yes,59715.0,2014.0,Gray,Black,560.0,4.0,8.0
BMW,gasoline,18500.0,no,85252.0,2012.0,Black,Black,326.0,3.0,6.0
Mercedes-Benz,hybrid,80000.0,yes,17900.0,2020.0,Black,Black,362.0,3.0,6.0
BMW,gasoline,55000.0,no,25500.0,2016.0,White,Black,560.0,4.4,8.0
Hyundai,gasoline,34000.0,no,3800.0,2023.0,White,Black,276.0,2.0,4.0
